Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-11-28 14:12:45.495 -0500,"Aborted",3:38:37,1,2369,0,"20231128_141245.495/LogFile.txt","","",1084
2023-11-29 15:50:37.519 -0500,"Failure",0:00:04,1,0,0,"20231129_155037.519/LogFile.txt","","VISA Error -- Failed to open connection to device ""USB0::0x2A8D::0x6A01::MY61440146::0::INSTR"" (VI_ERROR_NCIC: Not the controller-in-charge)",0
2023-11-29 15:57:22.355 -0500,"Failure",0:00:08,1,0,1,"20231129_155722.355/LogFile.txt","","No Remote Connection -- readtext Error - Remote Connection Unavailable",0
