Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-11-15 16:29:13.925 -0500,"Aborted",0:00:03,1,0,0,"20231115_162913.925/LogFile.txt","","",0
2023-11-15 17:23:05.852 -0500,"Aborted",0:00:21,1,0,1,"20231115_172305.852/LogFile.txt","","",0
2023-11-29 15:36:32.050 -0500,"Aborted",0:00:35,1,0,0,"20231129_153632.050/LogFile.txt","","",0
2023-11-29 15:38:24.209 -0500,"Aborted",0:00:18,1,0,0,"20231129_153824.209/LogFile.txt","","",0
2023-11-29 15:47:02.735 -0500,"Aborted",0:00:06,1,0,0,"20231129_154702.735/LogFile.txt","","",0
