Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
FindErrorsInArtemis,Failure,2,2,2023-11-29 15:50:37 -0500,2023-11-29 15:57:22 -0500,0:00:00
SetArtemisValues,Success,85,49,2023-11-13 12:51:58 -0500,2023-11-29 17:23:09 -0500,0:00:55
LaunchWebsite,Success,2,0,2023-11-29 14:23:35 -0500,2023-11-29 14:44:53 -0500,0:00:49
UMMS_Issue,Success,4,0,2023-11-29 14:01:49 -0500,2023-11-29 14:09:57 -0500,0:00:01
