Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-11-29 13:46:07.945 -0500,"Aborted",0:00:37,1,0,0,"20231129_134607.945/LogFile.txt","","",0
2023-11-29 13:47:06.756 -0500,"Aborted",0:03:27,1,0,0,"20231129_134706.756/LogFile.txt","","",0
2023-11-29 14:23:35.141 -0500,"Success",0:01:17,0,0,0,"20231129_142335.141/LogFile.txt","","",1
2023-11-29 14:42:49.647 -0500,"Aborted",0:01:43,1,0,0,"20231129_144249.647/LogFile.txt","","",0
2023-11-29 14:44:53.283 -0500,"Success",0:00:20,0,0,0,"20231129_144453.283/LogFile.txt","","",1
